base_model,OpenCLIP_ViT-B-16_openai,OpenCLIP_ViT-B-16_openai,OpenCLIP_ViT-B-16_openai,OpenCLIP_ViT-B-16_openai,OpenCLIP_ViT-B-16_openai,OpenCLIP_ViT-B-16_openai,OpenCLIP_ViT-B-16_openai,OpenCLIP_ViT-B-16_openai,OpenCLIP_ViT-B-16_openai,OpenCLIP_ViT-B-16_openai
Experiment,CLS last layer,All tokens last layer (attentive),CLS+AP last layer (linear),CLS+AP layers from middle & last blocks (linear),CLS+AP layers from quarterly blocks (linear),CLS+AP layers from all blocks (linear),CLS+AP last layer (attentive),CLS+AP layers from middle & last blocks (attentive),CLS+AP layers from quarterly blocks (attentive),CLS+AP layers from all blocks (attentive)
dataset_fmt,,,,,,,,,,
CIFAR-10,94.37999725,95.95999718,94.72000003000001,95.69999576000001,95.95999718,96.13999128,95.19999623000001,95.53999901,96.17000818,96.41000032
CIFAR-100,77.43000984,81.5500021,78.08999419,81.14999533,83.48999619,85.0900054,77.60999799,82.74000287000001,84.67000723,85.84000468
Caltech-101,94.14883256,94.53212023,94.69038844,95.35046220000001,94.71232295,93.84744763,93.82350445,93.60515475000001,94.90003586,94.83114481
Country-211,27.22274959,25.796207790000004,28.000000120000003,30.919429660000002,31.8246454,30.706161260000002,29.72037792,29.26066518,32.40758181,32.85782039
DTD,72.50000238000001,72.39362001,72.50000238000001,80.26595712,80.31914830000001,79.73403931,77.76596546,80.42553067,80.05319238,79.78722453
Diabetic Retinopathy,43.147271870000004,46.91862166000001,45.11264265,50.25653839,51.716357470000005,52.274715900000004,43.818742040000004,49.60208535,51.80261135000001,52.509403230000004
Dmlab,41.91179276,56.303775310000006,43.82781088,46.933293340000006,49.81689155,51.367402080000005,45.19158602,49.584755300000005,49.86289442,55.822819470000006
EuroSAT,89.99608755,96.51985168,93.9819932,96.51104212,97.33279943000001,97.71541357,93.33105087,97.05234766000001,97.72202373,97.89063334
FER2013,64.13665414,68.18574667,65.8038497,65.85521102,66.4322257,68.07166338,66.42848849,67.51520038000001,66.85868502,71.88822627
FGVC Aircraft,51.83065534,56.11854196,50.500893590000004,49.92958903,50.891268249999996,51.03564858,50.844919680000004,53.43048573,54.79233265,56.589126590000006
Flowers,94.24007535000001,96.86034918,96.38918042,95.01031041,95.43818831,95.26071548,96.10416889000001,96.59453630000002,97.40673304,95.70573568
GTSRB,75.89333057,88.57719302,79.73934412,80.53407669,81.92907572,83.08960795,80.28116226,82.44205117000001,83.57633352,87.37674952
PASCAL VOC 2007,85.23488045,84.10806656000001,86.71501875000001,86.64482236,87.09359169000001,87.58366704,85.78667641000001,87.05331087,87.51999736,86.78950071
PCAM,78.69386673000001,85.68640350999999,80.53036928,83.68626833,84.54656601,85.68763733,81.7083478,85.69065332,85.21356583000001,85.24957299
Pets,92.42035151,92.5112009,92.17824936000001,89.85360861000001,88.79760504000001,88.97314072,92.96870828,92.05507636,92.89672374999999,93.03129910999999
RESISC45,90.18438458,94.55196857,91.96897745,93.72843504000001,94.79844570000002,95.33210993,92.37279296,94.30853724,95.05055547,95.97657919
STL-10,98.97500277,98.59998822,98.77500533999999,98.94999266,99.07501340000002,99.150002,98.97500277,98.98750186000001,99.12500381,99.07500148
SVHN,59.28360224,84.49350595,65.46356082,76.34943128,77.61783600000001,79.4669807,67.05580354,77.50288248,75.31522512000001,82.61324167000001
Stanford Cars,84.18765068,88.76234293,84.17127728,82.33246207,82.37677813,82.42995739000001,85.20467281,86.08151078,87.42641807,88.16019297000001
min perf. gain,0.0,-1.4265417999999954,-1.3297617499999959,-2.566742899999994,-3.6227464699999956,-3.4472107899999997,-0.985735659999996,-0.5436778099999913,0.15000103999999226,0.09999870999999416
median perf. gain,0.0,4.049092529999996,1.4801383000000072,3.5440504600000082,4.601895810000002,3.9350092399999994,1.864093539999999,3.3785462400000057,4.8661708900000065,5.792194609999996
max perf. gain,0.0,25.20990371,6.179958579999997,17.065829040000004,18.33423376000001,20.183378459999993,7.772201299999999,18.219280239999996,16.031622880000008,23.329639430000007
mean perf. gain,0.0,4.874331856315789,1.4390189389473678,3.375985434736842,4.123766013684213,4.586268882631578,2.0197245636842105,4.402899427368422,5.102775286315787,6.451951515263156
std perf. gain,0.0,6.508699098112323,1.7720432463694784,4.485137281814959,4.96695441983175,5.432607685985408,2.1663784908602195,4.385235428177534,3.8558271633022,5.62170051176466
