base_model,dinov2-vit-base-p14,dinov2-vit-base-p14,dinov2-vit-base-p14,dinov2-vit-base-p14,dinov2-vit-base-p14,dinov2-vit-base-p14,dinov2-vit-base-p14,dinov2-vit-base-p14,dinov2-vit-base-p14,dinov2-vit-base-p14
Experiment,CLS last layer,All tokens last layer (attentive),CLS+AP last layer (linear),CLS+AP layers from middle & last blocks (linear),CLS+AP layers from quarterly blocks (linear),CLS+AP layers from all blocks (linear),CLS+AP last layer (attentive),CLS+AP layers from middle & last blocks (attentive),CLS+AP layers from quarterly blocks (attentive),CLS+AP layers from all blocks (attentive)
dataset_fmt,,,,,,,,,,
CIFAR-10,98.13998938,98.26999903,98.19000363,98.17000628,98.15000296000001,98.21000099,98.19000363,98.19999933,98.26000333,98.35000038
CIFAR-100,89.65999484,89.97001052,89.97001052,90.2500093,89.47999477,90.17999768,89.83999491,90.31000733,90.70999622,90.66999555000001
Caltech-101,96.10621333,96.85146213,97.23346829,97.41402268,97.52825499000001,97.35572934000001,96.63718939,97.00306654,97.44101763,97.58053422
Country-211,19.22274977,20.48814893,21.06161118,22.10900486,22.985781730000003,22.25118577,20.70142329,22.18009681,22.95734286,24.071089920000002
DTD,81.80851340000001,82.81915784,79.0425539,83.24468136,81.86170459,82.28723407000001,81.17021322,82.49999285,83.35106373,82.50000477
Diabetic Retinopathy,47.648414970000005,50.1719594,49.699005480000004,50.9955287,52.26268768,51.83065534,49.71830249,51.63884163,53.04306149,53.82425189
Dmlab,49.48681295,63.58290315,51.10455155,52.33281851,53.177559380000005,54.57377434,48.302054410000004,55.57275414,56.38512969,59.032446150000006
EuroSAT,94.31117773000001,97.56458402,96.04946375,97.25607634,97.79067039,98.14492464000001,96.79099321,97.91908264,97.80457616,98.31495285
FER2013,58.20680261,68.35358739,61.02026105,61.81157827,63.043397670000004,65.4173553,62.87280917,64.78851438000001,65.74369669,68.09374690000001
FGVC Aircraft,70.59715390000001,79.06505466,67.84046888,65.05525708,59.98485088000001,63.14171553,71.76648974000001,71.20143175,71.06328607,75.45899749
Flowers,99.70552921,99.65348244,99.64673519,99.70477819,99.64787960000001,99.13442135,99.69274402,99.72563386,99.69497919,99.75818396
GTSRB,68.86373162,91.87380075,73.22816849,75.80479383000001,77.63490677,79.75187898,73.86374474,78.43253613,81.17711544000001,84.19474959
PASCAL VOC 2007,89.73458409,90.40239453000001,91.41562581,91.44008756000001,91.18785858,90.81977010000001,91.07952118,91.21034741,91.06692076,90.80007672
PCAM,83.48033428000001,88.73000145,84.69768763,86.78504229,87.65184283,88.59159946,86.3702178,87.79446483000001,88.16954494,86.95017099
Pets,95.8360076,94.53099370000001,95.82707286,95.29826045,94.56015825,93.93687844,95.62229514,95.73374391,95.68219781,96.02071643000001
RESISC45,90.69295526,95.68122029,92.81585813000001,93.9977169,94.41681504,95.14230490000001,93.63337159,94.42168474,95.33613324,95.85844278
STL-10,99.59999323000001,99.56250191,99.62499738,99.57499504,99.56250191,99.53749776000001,99.48749542,99.57499504,99.68749881000001,99.59999919
SVHN,56.52674437,88.84384036,64.62005377000001,74.18593764,78.71209383,83.09300542,66.02007151,76.52395368,79.81287837,85.52613258000001
Stanford Cars,87.86133528,92.2492981,86.08344197000001,85.30618548000001,83.26966166000001,82.93052912,87.25171685000001,88.60080242000001,88.60850334,90.23333788000001
min perf. gain,0.0,-1.3050138999999916,-2.765959500000008,-5.541896820000005,-10.612303019999999,-7.45543837000001,-1.1847585399999971,-0.1022636900000009,-0.15380978999999684,5.959999995752696e-06
median perf. gain,0.0,2.523544429999994,1.2173533499999962,1.7055034700000107,1.4532744899999983,1.2495160100000078,1.1693358400000022,1.4757633199999987,1.5425503299999974,3.4698367099999956
max perf. gain,0.0,32.31709599,8.09330940000001,17.659193270000003,22.185349459999998,26.566261049999994,9.493327139999991,19.997209310000002,23.286134000000004,28.999388210000006
mean perf. gain,0.0,5.851334883157893,1.1411579810526313,2.2761969968421054,2.390504510000001,3.0969168794736843,1.6590323099999988,3.4654163999999996,4.131889892105261,5.228883811578948
std perf. gain,0.0,8.79011177920226,2.4669680805107426,4.5782683982654095,6.306503207894017,7.048714319079707,2.581469737289356,4.822668516302371,5.679096273054376,7.055115544564624
