base_model,vit_base_patch16_224,vit_base_patch16_224,vit_base_patch16_224,vit_base_patch16_224,vit_base_patch16_224,vit_base_patch16_224,vit_base_patch16_224,vit_base_patch16_224,vit_base_patch16_224,vit_base_patch16_224
Experiment,CLS last layer,All tokens last layer (attentive),CLS+AP last layer (linear),CLS+AP layers from middle & last blocks (linear),CLS+AP layers from quarterly blocks (linear),CLS+AP layers from all blocks (linear),CLS+AP last layer (attentive),CLS+AP layers from middle & last blocks (attentive),CLS+AP layers from quarterly blocks (attentive),CLS+AP layers from all blocks (attentive)
dataset_fmt,,,,,,,,,,
CIFAR-10,97.71999121,97.87000418000001,97.65999913,97.8599906,97.68999815000001,97.90999293,97.86000252,97.89001346,98.11999202,98.14001322
CIFAR-100,88.21999431,89.60000873,88.80001307,89.41999674,90.16999602,90.00999928,89.02999759,89.41000104,89.85999823,90.09000659
Caltech-101,96.19154334000001,95.79830766,96.25834823,96.74245119,96.97499871000001,96.84733152,96.26447558000001,96.58940434,96.51286602,96.54227495
Country-211,16.00947976,15.27014226,16.96682572,16.25118554,18.57819706,20.34597099,16.69668257,17.73459613,19.985783100000003,20.696680250000004
DTD,73.77660275,77.60637999000001,76.11702681,78.29787135000001,79.41488624,79.84042764,76.80851817000001,77.97871828000001,79.62765694000001,78.82978320000001
Diabetic Retinopathy,47.23951221,46.86240256,48.40536118,49.80165958,51.487284900000006,51.087427139999996,49.59484041,50.223541260000005,51.790136100000005,52.140998839999995
Dmlab,43.99570525,54.97738719,45.2811718,47.05240726,49.23772812,51.22595429,46.20058835,49.047026040000006,51.37276053000001,52.49277949
EuroSAT,95.09085417,97.44833112,96.18404508,97.70833254,98.11943173,98.24150801,96.81030512000001,97.80994654,98.35245013000001,98.55388403
FER2013,54.887044429999996,64.71388936,57.96285272,59.548622370000004,61.719369889999996,61.27647758,59.24133062,60.49419641,65.82741737,67.15344191
FGVC Aircraft,52.38235593,61.38057113000001,48.220142720000005,48.99376035,51.3386786,53.52406502,52.40552425,52.59090662,56.91176653000001,60.34759283000001
Flowers,99.12633896,99.56850410000001,99.44186211,99.31353331,99.43270683,99.01527762,99.37693477,99.46240187000001,99.49919581,99.44907427000001
GTSRB,64.48224187,84.90107059,71.61002755,71.65433764,76.01362467,77.11774111,71.80351019,75.26183724,78.71053219000001,83.05699825
PASCAL VOC 2007,88.70059252,87.93652654,89.61098790000001,89.65984583000001,89.61870074000001,89.90957141,89.00749087000001,89.25056458,89.57803845000001,89.37966228
PCAM,83.99761319,87.08720207,84.970963,85.93849540000001,86.72245145000001,87.32677698,85.97792387000001,87.13732958,86.27285361,84.76088047
Pets,94.46843863000001,94.65207458,94.38151717000001,94.57376599,94.23378706000001,94.16693449,94.47646141,94.48537827000001,94.59207654000001,94.62434649
RESISC45,88.40337396,94.2809701,90.74313641,92.80138612,93.98165345,94.76876259,90.7446146,93.5192287,95.19428015,95.70037127
STL-10,99.44999814,99.5875001,99.62500334,99.43750501000001,99.66250658,99.59999919,99.56250191,99.63749647,99.68749881000001,99.64998960000001
SVHN,56.03362918,87.11897731,64.74454403,72.74945974,76.84906721,79.67850566,66.78649783,74.49369431000001,79.58568931,82.56761432
Stanford Cars,70.06184458999999,82.91655779,70.01469135,68.18659902,70.53807974,72.83559442,71.07775807,71.88150287,75.89225769,79.92491722
min perf. gain,0.0,-0.764065979999998,-4.162213209999997,-3.3885955800000005,-1.0436773300000013,-0.3015041400000058,0.008022779999990348,0.01693964000000392,0.12363790999999935,0.15590785999998502
median perf. gain,0.0,2.357476950000006,0.9573459599999978,1.2000024299999978,2.5687172999999994,3.150653840000004,1.015913480000009,1.819658280000013,3.976303340000001,4.687200490000002
max perf. gain,0.0,31.085348130000007,8.710914850000002,16.715830560000008,20.815438030000003,23.64487648,10.752868650000003,18.46006513000001,23.552060130000008,26.533985140000006
mean perf. gain,0.0,5.754718576842109,1.4084928905263183,2.4081079568421075,3.765578565789476,4.446903340526316,2.078358121052634,3.403191032105266,5.112426059473688,5.992850267368423
std perf. gain,0.0,8.45019126294627,2.729598485080465,4.2590120030845116,5.174291651136033,5.687598010044944,2.7931446330520573,4.54757261708405,5.896247786151063,7.039055482887271
